"","X","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery","binned","stars"
"35",45067,"US","Big and quite tannic, this is a blend of 85% Cabernet Sauvignon and 15% Petit Verdot. The combination of Red Mountain fruit and the naturally tannic Petit Verdot is balanced against by the tart, juicy berry flavors and the influence from having aged in 100% new French oak. Nothing shy here, but the floral and citrusy aromatics add a welcome layer of complexity.","The Bully",91,45,"Washington","Red Mountain","Columbia Valley","Paul Gregutt","@paulgwine ","Gorman 2008 The Bully Cabernet Sauvignon (Red Mountain)","Cabernet Sauvignon","Gorman","3",2.75
"36",21994,"France","This pale-colored rosé is all about fruit. It is packed with attractive raspberry and red currant flavors that are lifted by the crisp texture and acidity. It has a good depth of flavor with its tangy aftertaste and final burst of fruit.","Brut Rosé Grand Cru",90,52,"Champagne","Champagne",NA,"Roger Voss","@vossroger","Louis de Sacy NV Brut Rosé Grand Cru  (Champagne)","Champagne Blend","Louis de Sacy","3",2.5
"37",67640,"US","Based on a blend from the era of Charlemagne, Jim Clendenen's annual combination of 50% Pinot Gris, 40% Pinot Blanc and 10% Aligoté aged in all new oak shows intriguing smoked stone fruit, sea salt, buttered toast with orange marmalade and a touch of crème brûlée on the delicious nose. The palate offers burnt lemon peels, Marcona almond paste and a touch of buttercream.","Hildegard",94,35,"California","Santa Maria Valley","Central Coast","Matt Kettmann","@mattkettmann","Au Bon Climat 2014 Hildegard White (Santa Maria Valley)","White Blend","Au Bon Climat","4",3.5
"38",60388,"Chile","The nose is fruity, with hints of vanilla bean. In the mouth, peach and lemon flavors carry a note of cinnamon spice, although the finish veers toward asparagus and green beans. Acidity and balance; are both on the money. Best Buy.","Casillero del Diablo",86,10,"Casablanca Valley",NA,NA,"Michael Schachner","@wineschach","Concha y Toro 2001 Casillero del Diablo Chardonnay (Casablanca Valley)","Chardonnay","Concha y Toro","1",1.5
"39",81254,"France","This pleasantly perfumed wine has some acidity, jammy red fruits and soft tannins. It feels very rounded and smooth, with a structure that is totally integrated into the velvet texture. Drink from 2016.","Les Charmes Premier Cru",89,141,"Burgundy","Chambolle-Musigny",NA,"Roger Voss","@vossroger","Joseph Faiveley 2011 Les Charmes Premier Cru  (Chambolle-Musigny)","Pinot Noir","Joseph Faiveley","2",2.25
"40",21355,"Italy","Grilled vegetable, celery and camphor aromas lead the nose of this wine. The palate is raw, tight and tense, showing oak, roasted coffee bean and bitter sage flavors alongside raspy tannins.","Gallina",86,130,"Piedmont","Barbaresco",NA,"Kerin O’Keefe","@kerinokeefe","La Spinetta 2014 Gallina  (Barbaresco)","Nebbiolo","La Spinetta","1",1.5
"41",68632,"France","For fruity, red-cherry-flavored Beaujolais, look no further. This Gamay wine has it all: soft tannins, intensely juicy red fruits and crisp, tangy acidity at the end. Drink now.",NA,85,16,"Beaujolais","Beaujolais-Villages",NA,"Roger Voss","@vossroger","Domaine Dupeuble Père et Fils 2014  Beaujolais-Villages","Gamay","Domaine Dupeuble Père et Fils","1",1.25
"42",39038,"Italy","Fruity and exuberant, it's loaded with tropical fruit, yellow peach, apricot and honeydew melon sensations. The round, juicy palate is energized by fresh acidity.",NA,87,11,"Northeastern Italy","Collio",NA,"Kerin O’Keefe","@kerinokeefe","Cormòns 2013 Sauvignon (Collio)","Sauvignon","Cormòns","2",1.75
"43",86288,"US","A standard, everyday Chard, brimming with smoky, vanilla-accented oak and ripe pear and tropical fruit flavors that finish a little sweet.",NA,84,17,"California","Russian River Valley","Sonoma",NA,NA,"Lake Sonoma 2007 Chardonnay (Russian River Valley)","Chardonnay","Lake Sonoma","1",1
"44",111639,"US","This contains all five red Bordeaux varieties, aged individually before blending and barrel aging. Merlot is the majority, and it shows in the wine's coaxing of soft plumminess and simple seasoning of cinnamon and allspice.","Five Vines Estate",87,49,"California","Russian River Valley","Sonoma","Virginie Boone","@vboone","Viszlay Vineyards 2013 Five Vines Estate Red (Russian River Valley)","Bordeaux-style Red Blend","Viszlay Vineyards","2",1.75
"45",102470,"Portugal","This is an open and fruity wine, made to be drunk young. With its wood-derived spice notes, black currant fruitiness and acidity, it's balanced, elegant and ready to drink now.",NA,86,10,"Dão",NA,NA,"Roger Voss","@vossroger","Opta 2014 Red (Dão)","Portuguese Red","Opta","1",1.5
"46",108648,"Italy","This supremely elegant and age-worthy Sassicaia opens with an intense bouquet of black cherry, Mediterranean herbs, blue flower, cedar and leather aromas. Powerful but graceful, the palate delivers a vibrant core of black cherry accented with white pepper, mineral and balsamic notes alongside youthful but polished tannins and vibrant acidity. It's not as exuberant as some of its counterparts, but it may outlive all the other Bolgheri 2010s. Drink 2018–2040.","Sassicaia",97,227,"Tuscany","Bolgheri Sassicaia",NA,"Kerin O’Keefe","@kerinokeefe","Tenuta San Guido 2010 Sassicaia  (Bolgheri Sassicaia)","Red Blend","Tenuta San Guido","5",4.25
"47",29363,"Argentina","An edgy nose with cassis, plum and cherry aromas is upright and fresh. This is lively and a bit jagged in feel, with cassis, cherry and chocolaty oak flavors. A firm finish with rubbery grabby tannins closes this out.",NA,87,11,"Mendoza Province","Mendoza",NA,"Michael Schachner","@wineschach","Black Cabra 2015 Cabernet Sauvignon (Mendoza)","Cabernet Sauvignon","Black Cabra","2",1.75
"48",102341,"Italy","Aromas of blackberry, toast, chopped mint and a whiff of dried rose lead the nose. The juicy palate doles out fleshy wild cherry, ripe blackberry, clove and anise alongside fresh acidity and round tannins. You'll also notice the warmth of alcohol on the close.","La Ladra",88,14,"Piedmont","Barbera d'Asti Superiore",NA,"Kerin O’Keefe","@kerinokeefe","Tenute dei Vallarino 2012 La Ladra  (Barbera d'Asti Superiore)","Barbera","Tenute dei Vallarino","2",2
"49",74212,"US","Very approachable and easygoing aromatics invite the nose with salted lime, yellow apples and buttery strudel scents. The palate is equally smooth and tasty, with warm apple and lemon-brioche flavors and a creamy mouthfeel. This is a full-body take on the grape rather than lean and grassy.","7200 Vogelzang VIneyard",89,28,"California","Happy Canyon of Santa Barbara","Central Coast","Matt Kettmann","@mattkettmann","Foxen 2014 7200 Vogelzang VIneyard Sauvignon Blanc (Happy Canyon of Santa Barbara)","Sauvignon Blanc","Foxen","2",2.25
"50",8612,"Portugal","This youthful crisp blend of Chardonnay and Fernão Pires comes from the Lisboa region. With a light texture, plenty of acidity and a fruity aftertaste, it is a great apéritif style.","Bruto",86,18,"Lisboa",NA,NA,"Roger Voss","@vossroger","Adega Mãe 2015 Bruto Sparkling (Lisboa)","Sparkling Blend","Adega Mãe","1",1.5
"51",64499,"US","An easygoing, savory wine with penetrating tannins and a pronounced flavor of cranberry. A good go-to pick for a crowd.",NA,85,13,"California","Mendocino",NA,"Virginie Boone","@vboone","Girasole 2009 Cabernet Sauvignon (Mendocino)","Cabernet Sauvignon","Girasole","1",1.25
"52",120082,"France","This is a smooth-texture wine with a great future. It has acidity, ripe tannins, generous fruit and balance. As the wine develops, the rich red-berry fruit will show strongly. The wine is concentrated, with a solid base. Drink from 2025.","Les Algrots Premier Cru",94,45,"Burgundy","Beaune",NA,"Roger Voss","@vossroger","Albert Morot 2015 Les Algrots Premier Cru  (Beaune)","Pinot Noir","Albert Morot","4",3.5
"53",98205,"US","You'll find a silky elegance in this robust blend of Syrah, Petit Verdot and Malbec. The palate is robust with flavors of raspberry, cola, persimmon and baking spice, along with big, brawny tannins.","Renegade Margarita Vineyard",86,23,"California","Paso Robles","Central Coast",NA,NA,"Ancient Peaks 2011 Renegade Margarita Vineyard Red (Paso Robles)","Red Blend","Ancient Peaks","1",1.5
"54",72177,"US","Here the dominant grape is Merlot, with smaller amounts of Syrah, Cab Franc, Cab Sauv and Petit Verdot. It falls to the herbal side in terms of flavor, ripeness and tannin, with some bitterness in the finish. On the plus side, it shows pleasing toasty scents and accents from some barrel aging.","Pomatia",88,21,"Washington","Columbia Valley (WA)","Columbia Valley","Paul Gregutt","@paulgwine ","Helix by Reininger 2011 Pomatia Red (Columbia Valley (WA))","Red Blend","Helix by Reininger","2",2
"55",10318,"New Zealand","The only trouble with this bargain-priced version of a vendange tardive Pinot Gris will be finding some, as only 40 cases were imported. At only 11.6% alcohol, there's plenty of sugar left in the wine (67 g/l), concentrated and enriched by the inclusion of 50% botrytis-affected fruit. The impressions are of honeyed pineapple, ripe melon and peach preserves, finishing long and sweet. Delicious now, but should still be good 5–6 years down the road.","Estate",91,24,"Waipara",NA,NA,"Joe Czerwinski","@JoeCz","Mountford 2008 Estate Pinot Gris (Waipara)","Pinot Gris","Mountford","3",2.75
"56",42680,"France","Packed with fruit and crisp acidity, this is a bright, light and perfumed wine. Red-berry flavors are lifted by red currants and a light spice. Drink now for total freshness.",NA,87,22,"Loire Valley","Sancerre",NA,"Roger Voss","@vossroger","Bernard Reverdy et Fils 2014 Rosé (Sancerre)","Rosé","Bernard Reverdy et Fils","2",1.75
"57",118906,"US","Sweet, tart and simple, like the filling on a black-cherry pie. Not much else going on. Drink now.","Reserve",84,25,"California","Oak Knoll District","Napa",NA,NA,"Martin Ray 2008 Reserve Merlot (Oak Knoll District)","Merlot","Martin Ray","1",1
"58",44552,"US","Take a walk on the wild side with this Rhône-style red. The meaty, spicy, earthy aromas lead to enjoyable fruit, spice and mocha flavors that rest on a firm bed of fine tannins and good acidity.","Tête-à-Tête",87,20,"California","Sierra Foothills","Sierra Foothills","Jim Gordon","@gordone_cellars","Terre Rouge 2012 Tête-à-Tête Red (Sierra Foothills)","Red Blend","Terre Rouge","2",1.75
"59",30611,"US","The Black Eyed Peas' singer Fergie and renowned winemaker Joey Tensley present an in-your-face Viognier, deeply yellow, nearing brown in color, with aromas of dried apricot, honey-roasted nuts and smoky mezcal with lime. Lush flavors of burnt orange peel, smoke and Scotch whisky make for an intriguing drink, certainly not for those seeking a dainty white wine.",NA,88,28,"California","Santa Ynez Valley","Central Coast","Matt Kettmann","@mattkettmann","Ferguson Crest 2010 Viognier (Santa Ynez Valley)","Viognier","Ferguson Crest","2",2
"60",125086,"US","Ripe and deep in berry, currant, cassis and spice flavors, with a rich overlay of cedary oak. Shows some roughness in midpalate and tannic astringency on the finish. Good, but edgy and a little harsh. Contains some Petite Sirah and Syrah.","SVR Reserve Red Wine",86,40,"California","Napa Valley","Napa",NA,NA,"Sterling 2005 SVR Reserve Red Wine Red (Napa Valley)","Red Blend","Sterling","1",1.5
"61",76163,"France","Hints of overripe peach and mealy apple indicate a rich, ripe style of rosé, but are immediately followed by accents of green melon, plum and menthol, adding balance and tension. Medium weight, with ample acidity that keeps the ripe fruit flavors balanced and refreshing through the finish.","Rolling Stone Grenache",87,10,"Languedoc-Roussillon","Pays d'Oc",NA,"Lauren Buzzeo","@laurbuzz","Pierre Qui Roule 2012 Rolling Stone Grenache Rosé (Pays d'Oc)","Rosé","Pierre Qui Roule","2",1.75
"62",45253,"US","A whiff of spring blossoms introduces this lush richly textured Pinot Noir rosé. Its ripe and fruity, full of succulent berry, cherry and watermelon flavors, yet balanced neatly in acidity. Forward and fresh, it make for tempting summer guzzling.","Stony Lonesome Estate Reserve Dry Rosé of",89,16,"New York","Finger Lakes","Finger Lakes","Anna Lee C. Iijima",NA,"Three Brothers 2016 Stony Lonesome Estate Reserve Dry Rosé of Pinot Noir (Finger Lakes)","Pinot Noir","Three Brothers","2",2.25
"63",71687,"Italy","Ronco dei Vignali opens with exotic fruit, fragrant nectarine, papaya and lemongrass on the finish. The bouquet is very beautiful and the mouthfeel is tame and understated in comparison.","Ronco dei Vignali",86,19,"Northeastern Italy","Collio",NA,NA,NA,"Ascevi Luwa 2011 Ronco dei Vignali Pinot Grigio (Collio)","Pinot Grigio","Ascevi Luwa","1",1.5
"64",97628,"France","Produced from vines high up the Grand Cru slope, this wine is finely textured and stylish while also full-bodied. It has weight, spice from wood aging, precise acidity and a strongly mineral, salty edge. Drink from 2021.","Les Preuses Grand Cru",94,69,"Burgundy","Chablis",NA,"Roger Voss","@vossroger","La Chablisienne 2014 Les Preuses Grand Cru  (Chablis)","Chardonnay","La Chablisienne","4",3.5
"65",30067,"Portugal","Bright and fruity, with a tannic edge, this is a blend of Touriga Nacional and Syrah. This is food friendly, with a rich red-fruit flavor that's cut with a caramel note and strawberry acidity.","Conde de Vimioso Colheita Seleccionada",85,9,"Tejo",NA,NA,"Roger Voss","@vossroger","Falua 2011 Conde de Vimioso Colheita Seleccionada Rosé (Tejo)","Rosé","Falua","1",1.25
"66",109482,"US","The aromas of roasted coffee bean, chocolate, and dark raspberry are light, while the palate is elegant in style with a good sense of balance and a lingering finish.",NA,89,30,"Washington","Horse Heaven Hills","Columbia Valley","Sean P. Sullivan","@wawinereport","Apex 2011 Merlot (Horse Heaven Hills)","Merlot","Apex","2",2.25
"67",71182,"US","This blend of Umpqua and Applegate Valley fruit, cofermented with 2% Viognier, is crisp and varietal, with mixed berries, peppercorns and cured meats all vying for your attention. Seamless and balanced, it keeps the alcohol down around 14.3%, which keeps the integrated structure intact. Silky tannins carry a whiff of roasted coffee through the finish.",NA,91,30,"Oregon","Southern Oregon","Southern Oregon","Paul Gregutt","@paulgwine ","Abacela 2004 Syrah (Southern Oregon)","Syrah","Abacela","3",2.75
"68",1409,"Italy","This linear wine opens with aromas that suggest tomato vine, white spring flower and yellow grapefruit that carry over to the crisp palate along with a hint of zesty lemon peel. Racy acidity adds even more verve.",NA,88,20,"Northeastern Italy","Alto Adige",NA,"Kerin O’Keefe","@kerinokeefe","Nals Margreid 2014 Sauvignon (Alto Adige)","Sauvignon","Nals Margreid","2",2
"69",102210,"Brazil","Oily aromas of orange peel and tropical fruits set up a creamy low-acid palate. Peach, melon and lychee flavors are light but pleasant, while this semisweet Moscato is tropical tasting but dilute on the finish.","Macaw Semi-Dry",85,15,"Serra Gaúcha",NA,NA,"Michael Schachner","@wineschach","Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha)","Moscato","Casa Perini","1",1.25
